date,product_id,store_id,stock_on_hand,stock_physical_truth,reorder_point,stockout_flag
2025-01-01,P1000,S01,131,131,88,0
2025-01-02,P1000,S01,95,95,88,0
2025-01-03,P1000,S01,59,59,88,0
2025-01-04,P1000,S01,3,3,88,0
2025-01-05,P1000,S01,0,0,88,1
2025-01-06,P1000,S01,151,151,88,0
2025-01-07,P1000,S01,109,109,88,0
2025-01-08,P1000,S01,73,73,88,0
2025-01-09,P1000,S01,27,27,88,0
2025-01-10,P1000,S01,0,0,88,1
2025-01-11,P1000,S01,139,139,88,0
2025-01-12,P1000,S01,83,83,88,0
2025-01-13,P1000,S01,47,47,88,0
2025-01-14,P1000,S01,16,16,88,0
2025-01-15,P1000,S01,177,177,88,0
2025-01-16,P1000,S01,139,139,88,0
2025-01-17,P1000,S01,94,94,88,0
2025-01-18,P1000,S01,35,35,88,0
2025-01-19,P1000,S01,0,0,88,1
2025-01-20,P1000,S01,0,0,88,1
2025-01-21,P1000,S01,152,152,88,0
2025-01-22,P1000,S01,106,106,88,0
2025-01-23,P1000,S01,60,60,88,0
2025-01-24,P1000,S01,21,21,88,0
2025-01-25,P1000,S01,0,0,88,1
2025-01-26,P1000,S01,156,156,88,0
2025-01-27,P1000,S01,111,111,88,0
2025-01-28,P1000,S01,67,67,88,0
2025-01-29,P1000,S01,19,19,88,0
2025-01-30,P1000,S01,0,0,88,1
2025-01-31,P1000,S01,148,148,88,0
2025-02-01,P1000,S01,72,72,88,0
2025-02-02,P1000,S01,0,0,88,1
2025-02-03,P1000,S01,0,0,88,1
2025-02-04,P1000,S01,0,0,88,1
2025-02-05,P1000,S01,0,0,88,1
2025-02-06,P1000,S01,0,0,88,1
2025-02-07,P1000,S01,0,0,88,1
2025-02-08,P1000,S01,0,0,88,1
2025-02-09,P1000,S01,153,153,88,0
2025-02-10,P1000,S01,111,111,88,0
2025-02-11,P1000,S01,54,54,88,0
2025-02-12,P1000,S01,17,17,88,0
2025-02-13,P1000,S01,0,0,88,1
2025-02-14,P1000,S01,160,160,88,0
2025-02-15,P1000,S01,113,113,88,0
2025-02-16,P1000,S01,67,67,88,0
2025-02-17,P1000,S01,37,37,88,0
2025-02-18,P1000,S01,0,0,88,1
2025-02-19,P1000,S01,165,165,88,0
2025-02-20,P1000,S01,138,138,88,0
2025-02-21,P1000,S01,97,97,88,0
2025-02-22,P1000,S01,51,51,88,0
2025-02-23,P1000,S01,7,5,88,0
2025-02-24,P1000,S01,0,0,88,1
2025-02-25,P1000,S01,0,0,88,1
2025-02-26,P1000,S01,0,0,88,1
2025-02-27,P1000,S01,0,0,88,1
2025-02-28,P1000,S01,159,159,88,0
2025-03-01,P1000,S01,112,112,88,0
2025-03-02,P1000,S01,57,57,88,0
2025-03-03,P1000,S01,15,15,88,0
2025-03-04,P1000,S01,0,0,88,1
2025-03-05,P1000,S01,161,161,88,0
2025-03-06,P1000,S01,109,109,88,0
2025-03-07,P1000,S01,62,62,88,0
2025-03-08,P1000,S01,18,18,88,0
2025-03-09,P1000,S01,0,0,88,1
2025-03-10,P1000,S01,162,162,88,0
2025-03-11,P1000,S01,133,133,88,0
2025-03-12,P1000,S01,96,96,88,0
2025-03-13,P1000,S01,57,57,88,0
2025-03-14,P1000,S01,21,21,88,0
2025-03-15,P1000,S01,0,0,88,1
2025-03-16,P1000,S01,153,153,88,0
2025-03-17,P1000,S01,64,64,88,0
2025-03-18,P1000,S01,0,0,88,1
2025-03-19,P1000,S01,0,0,88,1
